Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,365.560536,-137.275,-90.0,bottom
C2,4.7u,C_0402_1005Metric,327.355,-127.15,180.0,bottom
C3,1u,C_0402_1005Metric,358.794214,-133.225,180.0,bottom
C4,1u,C_0402_1005Metric,357.835,-136.52,90.0,bottom
C5,4.7u,C_0402_1005Metric,343.785,-133.69,90.0,bottom
C6,1u,C_0402_1005Metric,348.485,-133.69,90.0,bottom
C7,100n,C_0402_1005Metric,338.025,-133.15,0.0,bottom
C8,100n,C_0402_1005Metric,327.355,-126.05,180.0,bottom
C9,100n,C_0402_1005Metric,335.425,-123.9625,90.0,bottom
C10,100n,C_0402_1005Metric,338.025,-132.05,0.0,bottom
C11,100n,C_0402_1005Metric,331.425,-135.6625,-90.0,bottom
C12,1u,C_0402_1005Metric,330.325,-135.6625,-90.0,bottom
C13,100n,C_0402_1005Metric,195.74166,-148.2,0.0,bottom
C14,100n,C_0402_1005Metric,347.04166,-148.2,0.0,bottom
C15,220p,C_0402_1005Metric,324.005,-141.4325,180.0,bottom
C16,100n,C_0402_1005Metric,329.225,-136.66,90.0,bottom
C17,100n,C_0402_1005Metric,472.07501,-149.80192,0.0,bottom
C18,100n,C_0402_1005Metric,458.56475,-158.7375,90.0,bottom
D1,PRTR5V0U2X,SOT-143,361.624214,-130.275,-90.0,bottom
F1,500mA,Fuse_0603_1608Metric,361.461714,-133.225,0.0,bottom
L1,"220 @ 100MHz, 2A",L_0603_1608Metric,366.960536,-137.5825,-90.0,bottom
Q1,2N7002,SOT-23,346.135,-134.1475,-90.0,bottom
R1,5.1k,R_0402_1005Metric,364.245536,-128.06,-90.0,bottom
R2,5.1k,R_0402_1005Metric,362.545536,-136.16,-90.0,bottom
R3,100,R_0402_1005Metric,311.160766,-133.445,180.0,bottom
R4,100,R_0402_1005Metric,311.160766,-132.195,180.0,bottom
R5,100,R_0402_1005Metric,311.160766,-130.945,180.0,bottom
R6,100,R_0402_1005Metric,311.160766,-129.695,180.0,bottom
R7,100,R_0402_1005Metric,311.160766,-127.195,180.0,bottom
R8,100,R_0402_1005Metric,311.160766,-128.445,180.0,bottom
R9,100k,R_0402_1005Metric,332.45,-123.96,90.0,bottom
R10,100,R_0402_1005Metric,101.42384,-237.5,90.0,bottom
R11,100,R_0402_1005Metric,306.0,-262.08404,180.0,bottom
R12,10k,R_0402_1005Metric,348.995,-135.37,180.0,bottom
R13,10k,R_0402_1005Metric,327.3675,-128.25,0.0,bottom
R14,100k,R_0402_1005Metric,164.206,-156.2,0.0,bottom
R15,100k,R_0402_1005Metric,145.206,-156.2,0.0,bottom
R16,100k,R_0402_1005Metric,125.706,-156.2,0.0,bottom
R17,100k,R_0402_1005Metric,183.456,-156.2,0.0,bottom
R18,100k,R_0402_1005Metric,252.206,-156.3,0.0,bottom
R19,100k,R_0402_1005Metric,200.706,-156.2,0.0,bottom
R20,100k,R_0402_1005Metric,233.206,-156.3,0.0,bottom
R21,100k,R_0402_1005Metric,214.206,-156.3,0.0,bottom
R22,100k,R_0402_1005Metric,321.62,-136.9575,-90.0,bottom
R23,1k,R_0402_1005Metric,326.265,-141.4325,0.0,bottom
R24,100k,R_0402_1005Metric,312.206,-156.3,0.0,bottom
R25,100k,R_0402_1005Metric,293.206,-156.3,0.0,bottom
R26,100k,R_0402_1005Metric,271.206,-156.3,0.0,bottom
R27,100k,R_0402_1005Metric,331.206,-156.3,0.0,bottom
R28,100k,R_0402_1005Metric,428.706,-156.3,0.0,bottom
R29,100k,R_0402_1005Metric,351.206,-156.3,0.0,bottom
R30,100k,R_0402_1005Metric,400.706,-156.3,0.0,bottom
R31,100k,R_0402_1005Metric,381.706,-156.3,0.0,bottom
R32,100k,R_0402_1005Metric,481.696,-158.89955,-90.0,bottom
R33,100k,R_0402_1005Metric,467.26935,-156.3,180.0,bottom
R34,100k,R_0402_1005Metric,447.78935,-156.3,0.0,bottom
R35,10k,R_0402_1005Metric,342.685,-133.66,90.0,bottom
R36,100k,R_0402_1005Metric,345.695,-131.61,0.0,bottom
R37,330,R_0402_1005Metric,457.36475,-158.7075,-90.0,bottom
SW1,Magic Switch,SW_SPST_TL3342,345.835,-139.27,180.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,332.675,-129.3,90.0,bottom
U2,XC6206PxxxMR,SOT-23,360.185,-136.0625,90.0,bottom
U4,74HC4051,TSSOP16,199.196,-151.95,-90.0,bottom
U5,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,325.12,-136.9575,90.0,bottom
U6,74HC4051,TSSOP16,350.496,-151.95,-90.0,bottom
U7,74HC4051,TSSOP16,475.52935,-153.36237,-90.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,373.740536,-130.775,-90.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,334.825,-135.35,0.0,bottom
